sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,start,end,event,two_year_recid
Male,22,Less than 25,African-American,0,4,0,1,1,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,6,Medium,0,371,1,1
Male,22,Less than 25,African-American,0,10,1,2,2,70.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,70,0,1
Male,29,25 - 45,African-American,0,9,0,0,4,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,18,69,0,1
Male,62,Greater than 45,Hispanic,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1179,0,0
Male,27,25 - 45,African-American,0,6,1,0,6,0.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,30,193,1,1
Male,33,25 - 45,Other,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,754,0,0
Female,56,Greater than 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,3,916,0,0
Male,45,Greater than 45,Hispanic,0,1,0,0,6,-1.0,F,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,241,323,1,1
Male,22,Less than 25,Hispanic,0,4,0,0,1,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,6,Medium,0,1042,0,0
Male,39,25 - 45,African-American,0,4,0,0,1,-1.0,M,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,4,1121,0,0
Male,29,25 - 45,African-American,0,6,0,0,5,0.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,1,253,1,1
Male,27,25 - 45,Caucasian,0,6,0,1,1,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,13,273,0,1
Male,40,25 - 45,African-American,0,2,0,0,2,-15.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,989,0,0
Male,22,Less than 25,African-American,0,3,0,0,1,0.0,M,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,17,256,0,1
Male,22,Less than 25,Caucasian,0,8,0,0,0,-1.0,F,0,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,57,73,0,0
Female,26,25 - 45,African-American,0,4,0,0,1,-1.0,F,1,1,Risk of Recidivism,4,Low,Risk of Violence,3,Low,1,11,1,1
Male,27,25 - 45,Caucasian,0,7,0,0,1,-43.0,F,1,1,Risk of Recidivism,7,Medium,Risk of Violence,8,High,0,258,1,1
Male,32,25 - 45,African-American,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,1124,0,0
Male,41,25 - 45,African-American,0,2,0,0,1,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,1128,0,0
Male,30,25 - 45,African-American,0,10,0,0,8,-1.0,M,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,0,55,1,1
Male,50,Greater than 45,Other,0,1,0,0,0,-1.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,182,1,1
Male,25,25 - 45,African-American,1,10,6,1,14,-1.0,F,1,1,Risk of Recidivism,10,High,Risk of Violence,10,High,6,100,1,1
Male,20,Less than 25,Other,0,5,0,0,0,-1.0,F,1,1,Risk of Recidivism,5,Medium,Risk of Violence,8,High,0,119,1,1
Male,22,Less than 25,African-American,1,9,0,0,2,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,10,High,30,175,1,1
Male,23,Less than 25,African-American,0,7,0,1,2,137.0,M,1,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,0,137,0,1
Female,35,25 - 45,African-American,0,2,0,0,1,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,1098,0,0
Male,36,25 - 45,African-American,0,7,0,0,9,0.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,4,27,1,1
Male,26,25 - 45,Caucasian,0,8,0,0,7,0.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,0,377,1,1
Male,21,Less than 25,Other,0,6,0,0,1,0.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,4,253,1,1
Male,25,25 - 45,Caucasian,0,8,0,0,9,-1.0,F,1,1,Risk of Recidivism,8,High,Risk of Violence,9,High,0,145,1,1
Female,20,Less than 25,Caucasian,0,7,0,0,0,-1.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,0,869,0,0
Male,39,25 - 45,Caucasian,0,1,0,0,2,-2.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,63,1,1
Male,66,Greater than 45,Caucasian,0,1,0,0,3,-64.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,877,0,0
Female,54,Greater than 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1082,0,0
Female,44,25 - 45,Hispanic,0,1,0,0,0,-2.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,955,0,0
Male,19,Less than 25,African-American,0,4,0,0,1,-10.0,M,1,1,Risk of Recidivism,4,Low,Risk of Violence,7,Medium,0,104,1,1
Male,24,Less than 25,African-American,0,2,0,0,1,-137.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,503,0,0
Male,30,25 - 45,African-American,0,2,0,0,1,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,935,0,0
Female,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,F,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,52,1,1
Male,24,Less than 25,Caucasian,0,6,1,2,8,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,11,27,1,1
Male,30,25 - 45,Caucasian,0,4,0,0,0,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,5,497,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,0,-1.0,M,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,38,770,0,0
Female,39,25 - 45,Caucasian,0,4,0,0,1,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,106,392,0,0
Male,59,Greater than 45,African-American,0,9,0,0,14,178.0,F,1,1,Risk of Recidivism,9,High,Risk of Violence,4,Low,0,178,1,1
Male,43,25 - 45,Caucasian,0,1,0,0,1,-30.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,960,0,0
Male,21,Less than 25,African-American,0,9,0,0,3,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,5,24,1,1
Male,38,25 - 45,Caucasian,0,4,0,0,5,-1.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,2,55,1,1
Male,34,25 - 45,Caucasian,0,5,0,0,0,0.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,5,Medium,15,441,0,0
Male,33,25 - 45,African-American,0,5,0,0,5,0.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,345,1,1
Male,37,25 - 45,African-American,0,2,0,0,3,0.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,1,102,0,0
Male,42,25 - 45,Caucasian,0,2,0,0,1,0.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,1,2,1,1
Male,41,25 - 45,African-American,0,9,1,0,10,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,7,Medium,176,285,1,1
Male,22,Less than 25,African-American,0,4,0,0,0,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,7,Medium,0,394,1,1
Male,33,25 - 45,African-American,0,8,12,2,28,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,5,Medium,1,83,1,1
Male,31,25 - 45,African-American,0,7,0,0,1,-1.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,0,900,0,0
Female,30,25 - 45,Other,0,2,0,0,1,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,97,0,0
Male,31,25 - 45,Caucasian,0,10,0,0,13,-1.0,F,1,1,Risk of Recidivism,10,High,Risk of Violence,7,Medium,0,55,1,1
Male,27,25 - 45,African-American,0,9,0,0,3,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,4,Low,0,249,1,1
Male,56,Greater than 45,African-American,0,9,0,0,8,67.0,F,0,0,Risk of Recidivism,9,High,Risk of Violence,3,Low,0,67,0,0
Male,52,Greater than 45,Caucasian,0,9,0,0,3,-2.0,M,0,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,0,977,0,0
Male,33,25 - 45,African-American,0,10,0,0,19,-1.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,7,Medium,0,222,0,1
Female,64,Greater than 45,Caucasian,0,1,0,0,2,-47.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,732,0,0
Male,22,Less than 25,Caucasian,0,6,0,0,4,-36.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,8,High,0,139,0,1
Male,42,25 - 45,Caucasian,0,3,0,0,6,-4.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,0,408,0,0
Female,25,25 - 45,Caucasian,0,4,0,0,2,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,2,359,0,0
Male,30,25 - 45,Caucasian,0,2,0,0,1,-20.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,864,0,0
Female,37,25 - 45,Other,0,2,0,0,2,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,1,823,0,0
Male,28,25 - 45,Caucasian,0,2,0,0,0,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,60,0,1
Female,24,Less than 25,African-American,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,784,0,0
Female,29,25 - 45,Caucasian,0,4,1,0,10,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,6,40,0,1
Male,44,25 - 45,Caucasian,0,2,0,0,2,0.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,216,1,1
Female,30,25 - 45,Hispanic,0,5,0,0,4,-35.0,F,1,1,Risk of Recidivism,5,Medium,Risk of Violence,5,Medium,0,37,1,1
Male,32,25 - 45,African-American,0,7,0,0,3,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,7,413,0,1
Male,31,25 - 45,Caucasian,0,3,0,0,2,-16.0,M,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,48,1,1
Male,31,25 - 45,African-American,0,2,0,0,1,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,1140,1,0
Male,59,Greater than 45,Caucasian,0,2,0,0,1,-1.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,164,1,1
Female,20,Less than 25,African-American,1,10,0,0,1,0.0,F,0,0,Risk of Recidivism,10,High,Risk of Violence,10,High,3,119,0,0
Female,43,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,1053,0,0
Male,38,25 - 45,African-American,1,8,1,0,9,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,12,129,1,1
Male,32,25 - 45,African-American,0,6,0,0,11,-2.0,F,1,1,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,0,24,1,1
Male,33,25 - 45,African-American,0,5,0,0,8,-1.0,M,1,1,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,187,1,1
Female,31,25 - 45,African-American,0,3,0,0,0,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,1,76,0,1
Female,33,25 - 45,African-American,0,9,0,0,7,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,9,High,25,275,1,1
Male,27,25 - 45,African-American,0,9,0,0,2,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,8,High,0,18,0,1
Female,20,Less than 25,African-American,0,6,0,0,0,0.0,F,0,0,Risk of Recidivism,6,Medium,Risk of Violence,8,High,0,846,0,0
Female,26,25 - 45,Caucasian,0,6,0,0,0,-2.0,M,0,0,Risk of Recidivism,6,Medium,Risk of Violence,3,Low,0,795,0,0
Female,61,Greater than 45,African-American,0,1,0,0,1,-1.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,544,1,1
Male,52,Greater than 45,Other,0,7,0,0,13,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,1,36,0,1
Male,63,Greater than 45,Hispanic,0,1,0,0,1,-26.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,786,0,0
Female,32,25 - 45,African-American,0,10,0,0,4,-7.0,F,1,1,Risk of Recidivism,10,High,Risk of Violence,9,High,0,395,1,1
Male,29,25 - 45,Hispanic,0,4,0,0,1,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,938,0,0
Female,26,25 - 45,African-American,0,4,0,0,2,-1.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,229,1,1
Male,55,Greater than 45,African-American,0,1,0,0,3,-51.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1009,0,0
Male,39,25 - 45,Caucasian,1,4,0,0,1,-1.0,M,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,3,780,0,0
Female,30,25 - 45,Caucasian,0,7,0,0,3,0.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,4,Low,0,14,1,1
Male,30,25 - 45,African-American,0,7,0,0,1,0.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,70,367,0,0
Male,48,Greater than 45,Caucasian,0,2,0,0,2,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,918,0,0
Male,22,Less than 25,African-American,0,2,0,0,1,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,4,Low,0,547,0,0
Male,46,Greater than 45,Caucasian,0,1,0,0,6,22.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,22,1,1
Female,49,Greater than 45,Caucasian,0,6,0,0,6,-56.0,F,0,0,Risk of Recidivism,6,Medium,Risk of Violence,2,Low,0,744,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,0,0.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,2,719,0,0
Male,25,25 - 45,African-American,0,2,0,0,1,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,31,1,1
Male,23,Less than 25,Hispanic,0,3,0,0,0,-1.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,935,0,0
Female,32,25 - 45,African-American,0,7,0,0,5,-1.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,0,1138,0,0
Male,52,Greater than 45,Hispanic,0,1,0,0,2,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,2,108,0,0
Male,62,Greater than 45,African-American,0,4,0,0,8,0.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,1,Low,16,1151,0,0
Female,37,25 - 45,Caucasian,0,10,0,0,6,-110.0,F,0,0,Risk of Recidivism,10,High,Risk of Violence,4,Low,0,417,0,0
Male,55,Greater than 45,Caucasian,0,1,0,0,1,-45.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,934,0,0
Male,31,25 - 45,Hispanic,0,9,0,0,8,29.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,7,Medium,0,29,0,1
Male,28,25 - 45,African-American,0,6,0,0,6,-1.0,M,1,1,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,0,482,1,1
Male,54,Greater than 45,Hispanic,0,1,0,0,2,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,187,946,0,0
Male,58,Greater than 45,Hispanic,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,302,0,0
Male,78,Greater than 45,Caucasian,0,1,0,0,1,-1.0,M,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,310,1,1
Male,56,Greater than 45,Caucasian,0,1,0,0,0,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,760,0,0
Male,24,Less than 25,Other,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,4,Low,1,808,0,0
Male,38,25 - 45,African-American,2,8,2,1,22,-34.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,5,Medium,0,238,1,1
Male,22,Less than 25,African-American,0,5,0,0,1,0.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,5,Medium,0,200,1,1
Male,47,Greater than 45,African-American,0,8,0,0,23,-1.0,M,1,0,Risk of Recidivism,8,High,Risk of Violence,1,Low,0,9,1,1
Male,23,Less than 25,African-American,0,2,0,0,0,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,4,Low,0,176,1,1
Male,57,Greater than 45,Hispanic,0,1,0,0,1,0.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,20,889,0,0
Female,38,25 - 45,Caucasian,0,5,0,0,2,-35.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,155,1,1
Male,66,Greater than 45,African-American,0,1,0,0,3,-10.0,F,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,943,1,0
Male,45,Greater than 45,Caucasian,0,4,0,0,8,0.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,71,584,0,1
Male,32,25 - 45,African-American,0,10,0,0,13,289.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,7,Medium,0,289,1,1
Male,37,25 - 45,African-American,0,9,0,0,2,0.0,M,1,1,Risk of Recidivism,9,High,Risk of Violence,8,High,0,104,1,1
Male,39,25 - 45,Caucasian,0,4,0,0,0,0.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,1,389,1,1
Male,26,25 - 45,African-American,0,9,0,0,9,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,8,High,79,173,1,1
