decile1b,decile3,decile1,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,tier,gender
b'01',b'02',b'01',3.0,22.0,2.7,-1.8,68.0,-1.13,1.0,4.0,-61.0,0.0,3.0,b'male'
b'10',b'09',b'10',4.0,48.0,3.7,1.94,69.0,0.98,1.0,4.0,-62.0,0.0,5.0,b'female'
b'03',b'02',b'03',3.0,36.0,2.9,-0.53,68.0,-1.05,1.0,4.0,-61.0,0.0,3.0,b'female'
b'03',b'02',b'03',1.0,36.0,3.1,-0.67,68.0,-0.9,1.0,3.0,-61.0,0.0,4.0,b'female'
b'03',b'02',b'03',3.0,36.0,3.5,-0.64,65.0,-1.12,1.0,1.0,-58.0,0.0,3.0,b'male'
b'08',b'05',b'08',1.0,45.0,3.0,0.64,68.0,-0.1,1.0,3.0,-61.0,0.0,4.0,b'male'
b'10',b'10',b'10',6.0,35.0,2.6,2.4,62.0,3.22,1.0,3.0,-60.0,0.0,1.0,b'male'
b'03',b'01',b'03',4.0,36.0,3.4,-0.6,67.0,-1.63,1.0,2.0,-60.0,0.0,5.0,b'male'
b'09',b'08',b'09',1.0,46.0,3.8,1.27,69.0,0.87,1.0,4.0,-67.0,0.0,4.0,b'female'
b'09',b'08',b'09',4.0,39.0,3.1,1.02,59.0,0.73,2.0,3.0,-52.0,1.0,5.0,b'male'
b'04',b'05',b'04',3.0,39.0,2.7,-0.39,69.0,-0.07,1.0,3.0,-62.0,0.0,3.0,b'female'
b'10',b'10',b'10',4.0,39.0,4.0,2.88,66.0,2.87,1.0,3.0,-59.0,0.0,5.0,b'female'
b'06',b'07',b'06',3.0,38.0,3.0,0.14,68.0,0.53,1.0,3.0,-61.0,0.0,3.0,b'female'
b'10',b'10',b'10',1.0,32.0,4.0,1.68,59.0,1.33,1.0,3.0,-52.0,0.0,4.0,b'male'
b'07',b'04',b'07',3.0,39.0,3.5,0.34,58.0,-0.49,1.0,4.0,-51.0,0.0,3.0,b'male'
b'02',b'01',b'02',4.0,29.0,2.5,-1.08,64.0,-1.46,1.0,3.0,-57.0,0.0,5.0,b'male'
b'09',b'08',b'09',4.0,48.0,3.5,1.02,68.0,0.76,1.0,4.0,-61.0,0.0,5.0,b'male'
b'01',b'02',b'01',3.0,27.0,2.5,-1.4,68.0,-1.08,1.0,3.0,-61.0,0.0,3.0,b'female'
b'02',b'01',b'02',1.0,31.0,2.6,-1.04,69.0,-1.49,1.0,4.0,-62.0,0.0,4.0,b'male'
b'10',b'10',b'10',1.0,45.0,3.7,1.51,68.0,1.69,1.0,3.0,-61.0,0.0,4.0,b'female'
b'04',b'05',b'04',5.0,36.0,3.9,-0.45,68.0,-0.04,1.0,4.0,-61.0,0.0,6.0,b'male'
b'02',b'02',b'02',1.0,34.0,2.5,-1.14,67.0,-0.93,1.0,4.0,-60.0,0.0,4.0,b'male'
b'06',b'02',b'06',1.0,35.0,3.8,0.27,67.0,-0.98,1.0,3.0,-60.0,0.0,4.0,b'male'
b'03',b'04',b'03',4.0,35.0,3.1,-0.67,68.0,-0.28,1.0,3.0,-61.0,0.0,5.0,b'male'
b'01',b'01',b'01',5.0,36.0,3.9,-1.5,67.0,-2.18,1.0,4.0,-60.0,0.0,6.0,b'male'
b'02',b'02',b'02',1.0,42.0,3.3,-1.06,67.0,-1.13,1.0,3.0,-60.0,0.0,4.0,b'male'
b'10',b'10',b'10',1.0,30.0,3.7,1.66,66.0,1.52,1.0,3.0,-59.0,0.0,4.0,b'female'
b'08',b'10',b'08',4.0,25.0,3.7,0.6,69.0,1.72,1.0,3.0,-62.0,0.0,5.0,b'female'
b'04',b'02',b'04',4.0,31.5,3.6,-0.37,69.0,-1.04,1.0,3.0,-62.0,0.0,5.0,b'female'
b'08',b'08',b'08',1.0,40.0,3.2,0.82,68.0,0.72,1.0,5.0,-61.0,0.0,4.0,b'male'
b'03',b'05',b'03',3.0,40.0,3.5,-0.64,68.0,-0.12,1.0,4.0,-61.0,0.0,3.0,b'female'
b'07',b'07',b'07',1.0,41.0,3.7,0.44,69.0,0.53,1.0,3.0,-62.0,0.0,4.0,b'female'
b'09',b'07',b'09',3.0,34.0,3.5,0.96,69.0,0.45,1.0,3.0,-62.0,0.0,3.0,b'female'
b'07',b'06',b'07',1.0,39.0,3.4,0.45,69.0,0.22,1.0,4.0,-62.0,0.0,4.0,b'male'
b'04',b'04',b'04',4.0,38.0,3.0,-0.45,67.0,-0.27,1.0,5.0,-60.0,0.0,5.0,b'female'
b'05',b'05',b'05',5.0,41.0,3.2,-0.16,66.0,-0.19,1.0,5.0,-59.0,0.0,6.0,b'male'
b'07',b'06',b'08',2.0,31.0,3.3,0.55,64.0,0.08,1.0,4.0,-57.0,0.0,2.0,b'female'
b'05',b'04',b'05',5.0,42.0,3.6,-0.03,68.0,-0.28,1.0,3.0,-66.0,0.0,6.0,b'female'
b'06',b'08',b'06',3.0,34.0,3.2,0.16,69.0,0.63,1.0,4.0,-62.0,0.0,3.0,b'female'
b'05',b'05',b'05',3.0,37.0,3.0,-0.11,69.0,-0.23,1.0,3.0,-62.0,0.0,3.0,b'male'
b'08',b'04',b'08',3.0,42.0,2.3,0.81,67.0,-0.3,1.0,3.0,-60.0,0.0,3.0,b'male'
b'07',b'06',b'07',3.0,36.0,3.3,0.45,69.0,0.23,1.0,4.0,-62.0,0.0,3.0,b'male'
b'09',b'08',b'09',3.0,42.0,3.0,1.05,69.0,0.62,1.0,3.0,-62.0,0.0,3.0,b'male'
b'10',b'10',b'10',3.0,40.0,3.5,1.34,55.0,1.41,2.0,2.0,-48.0,1.0,3.0,b'male'
b'08',b'09',b'08',6.0,29.0,2.8,0.81,67.0,1.37,1.0,2.0,-60.0,0.0,1.0,b'female'
b'04',b'04',b'04',3.0,36.0,3.3,-0.39,68.0,-0.35,1.0,4.0,-61.0,0.0,3.0,b'male'
b'09',b'09',b'09',3.0,36.0,2.9,0.91,49.0,1.2,1.0,4.0,-42.0,0.0,3.0,b'male'
b'04',b'04',b'04',3.0,37.0,2.7,-0.33,61.0,-0.3,1.0,4.0,-59.0,0.0,3.0,b'female'
b'06',b'05',b'07',1.0,35.0,3.1,0.31,65.0,-0.01,1.0,5.0,-58.0,0.0,4.0,b'female'
b'04',b'03',b'04',1.0,41.0,3.4,-0.38,65.0,-0.83,1.0,3.0,-58.0,0.0,4.0,b'female'
b'06',b'05',b'06',3.0,42.0,2.9,0.1,64.0,-0.18,1.0,4.0,-57.0,0.0,3.0,b'male'
b'02',b'03',b'02',5.0,33.5,3.4,-0.91,67.0,-0.57,1.0,4.0,-60.0,0.0,6.0,b'female'
b'02',b'02',b'02',1.0,32.0,3.0,-1.02,67.0,-1.33,1.0,3.0,-65.0,0.0,4.0,b'female'
b'06',b'05',b'06',2.0,36.0,3.7,0.12,69.0,-0.13,1.0,4.0,-62.0,0.0,2.0,b'female'
b'02',b'03',b'02',5.0,34.5,3.3,-0.95,67.0,-0.8,1.0,4.0,-60.0,0.0,6.0,b'female'
b'01',b'02',b'02',2.0,32.0,3.0,-1.26,69.0,-1.02,1.0,4.0,-62.0,0.0,2.0,b'female'
b'09',b'09',b'09',2.0,35.0,3.3,0.91,68.0,1.26,1.0,4.0,-61.0,0.0,2.0,b'male'
b'09',b'08',b'10',1.0,34.0,2.9,1.31,68.0,0.64,1.0,2.0,-61.0,0.0,4.0,b'female'
b'05',b'03',b'06',6.0,27.0,3.1,0.05,68.0,-0.68,1.0,2.0,-61.0,0.0,1.0,b'male'
b'07',b'09',b'07',4.0,39.0,3.4,0.36,61.0,1.23,2.0,3.0,-54.0,1.0,5.0,b'male'
b'04',b'02',b'04',4.0,40.0,3.5,-0.44,68.0,-1.01,1.0,4.0,-61.0,0.0,5.0,b'male'
b'02',b'02',b'03',2.0,32.0,3.9,-0.88,69.0,-1.14,1.0,4.0,-62.0,0.0,2.0,b'male'
b'03',b'02',b'03',1.0,42.0,3.3,-0.64,58.0,-1.1,1.0,3.0,-51.0,0.0,4.0,b'female'
b'08',b'10',b'08',4.0,35.0,2.9,0.8,56.0,1.53,2.0,3.0,-54.0,1.0,5.0,b'male'
b'03',b'05',b'04',6.0,34.0,2.9,-0.36,70.0,-0.08,1.0,2.0,-63.0,0.0,1.0,b'female'
b'02',b'01',b'02',1.0,38.0,3.2,-0.98,69.0,-1.72,1.0,4.0,-62.0,0.0,4.0,b'female'
b'02',b'02',b'02',1.0,42.0,3.4,-0.84,63.0,-0.93,1.0,3.0,-56.0,0.0,4.0,b'male'
b'04',b'04',b'04',1.0,38.0,3.6,-0.4,69.0,-0.46,1.0,4.0,-62.0,0.0,4.0,b'female'
b'03',b'03',b'03',1.0,37.0,3.2,-0.65,68.0,-0.59,1.0,3.0,-61.0,0.0,4.0,b'female'
b'05',b'07',b'05',5.0,41.0,3.8,0.02,67.0,0.33,1.0,3.0,-60.0,0.0,6.0,b'male'
b'09',b'08',b'09',3.0,32.0,3.1,1.04,68.0,0.64,1.0,3.0,-66.0,0.0,3.0,b'female'
b'01',b'01',b'02',3.0,29.0,2.8,-1.13,55.0,-1.49,1.0,4.0,-48.0,0.0,3.0,b'female'
b'07',b'09',b'07',1.0,40.0,3.4,0.55,65.0,1.01,1.0,4.0,-58.0,0.0,4.0,b'male'
b'08',b'05',b'08',3.0,37.0,2.7,0.61,67.0,-0.27,1.0,3.0,-60.0,0.0,3.0,b'male'
b'04',b'04',b'04',5.0,44.0,3.4,-0.31,70.0,-0.35,1.0,3.0,-63.0,0.0,6.0,b'female'
b'09',b'09',b'09',2.0,41.0,3.4,0.89,58.0,0.94,1.0,4.0,-51.0,0.0,2.0,b'male'
b'06',b'07',b'07',5.0,42.0,3.8,0.35,62.0,0.35,1.0,4.0,-55.0,0.0,6.0,b'female'
b'07',b'08',b'07',4.0,41.5,3.2,0.43,65.0,0.73,1.0,3.0,-58.0,0.0,5.0,b'female'
b'01',b'02',b'02',3.0,41.0,2.9,-1.13,68.0,-0.94,1.0,4.0,-61.0,0.0,3.0,b'male'
b'04',b'07',b'04',4.0,40.0,3.8,-0.41,67.0,0.46,1.0,3.0,-60.0,0.0,5.0,b'male'
b'10',b'03',b'10',4.0,28.3,3.1,1.54,62.0,-0.82,1.0,2.0,-55.0,0.0,5.0,b'female'
b'06',b'02',b'06',3.0,38.0,2.8,0.2,68.0,-1.06,1.0,5.0,-61.0,0.0,3.0,b'male'
b'04',b'04',b'05',1.0,40.0,3.2,-0.18,69.0,-0.39,1.0,4.0,-62.0,0.0,4.0,b'female'
b'06',b'05',b'06',1.0,25.0,2.6,0.26,62.0,-0.09,1.0,3.0,-55.0,0.0,4.0,b'male'
b'05',b'03',b'05',1.0,25.0,2.7,-0.02,67.0,-0.74,1.0,2.0,-60.0,0.0,4.0,b'male'
b'07',b'05',b'07',6.0,28.0,3.5,0.48,69.0,-0.04,1.0,2.0,-62.0,0.0,1.0,b'female'
b'02',b'02',b'03',2.0,33.0,3.5,-0.84,67.0,-1.19,1.0,4.0,-65.0,0.0,2.0,b'female'
b'05',b'05',b'06',1.0,36.0,3.5,0.09,69.0,-0.01,1.0,3.0,-62.0,0.0,4.0,b'female'
b'08',b'08',b'08',3.0,48.0,3.4,0.77,69.0,0.74,1.0,3.0,-62.0,0.0,3.0,b'female'
b'05',b'03',b'05',3.0,34.5,3.0,-0.03,54.0,-0.64,1.0,2.0,-47.0,0.0,3.0,b'male'
b'05',b'08',b'06',3.0,41.0,3.2,-0.02,69.0,0.65,1.0,5.0,-62.0,0.0,3.0,b'male'
b'05',b'05',b'06',3.0,34.0,2.8,0.01,69.0,-0.13,1.0,3.0,-62.0,0.0,3.0,b'female'
b'07',b'07',b'07',6.0,24.0,3.2,0.41,51.0,0.32,1.0,3.0,-44.0,0.0,1.0,b'female'
b'09',b'09',b'10',3.0,35.5,3.8,1.27,68.0,1.0,1.0,4.0,-61.0,0.0,3.0,b'male'
b'06',b'05',b'07',3.0,33.0,2.0,0.3,64.0,-0.05,1.0,3.0,-57.0,0.0,3.0,b'male'
b'05',b'04',b'05',3.0,28.0,2.3,-0.16,67.0,-0.5,1.0,3.0,-60.0,0.0,3.0,b'female'
b'06',b'07',b'07',3.0,31.0,3.5,0.3,69.0,0.34,1.0,2.0,-62.0,0.0,3.0,b'female'
b'07',b'07',b'07',1.0,41.0,3.8,0.48,69.0,0.35,1.0,3.0,-63.0,0.0,4.0,b'female'
b'06',b'03',b'06',4.0,35.5,3.1,0.14,69.0,-0.65,1.0,5.0,-62.0,0.0,5.0,b'female'
b'03',b'04',b'03',2.0,31.0,3.7,-0.54,66.0,-0.33,1.0,2.0,-59.0,0.0,2.0,b'female'
b'07',b'06',b'07',3.0,44.0,2.1,0.51,61.0,0.09,1.0,4.0,-54.0,0.0,3.0,b'female'
b'07',b'07',b'07',3.0,36.0,3.6,0.45,69.0,0.44,1.0,3.0,-62.0,0.0,3.0,b'female'
b'04',b'05',b'04',1.0,36.0,3.1,-0.25,69.0,-0.05,1.0,5.0,-67.0,0.0,4.0,b'male'
b'01',b'01',b'02',1.0,44.0,3.7,-1.26,62.0,-1.42,1.0,3.0,-60.0,0.0,4.0,b'male'
b'02',b'01',b'02',4.0,44.0,2.7,-1.03,67.0,-1.85,1.0,2.0,-60.0,0.0,5.0,b'male'
b'07',b'05',b'07',3.0,32.0,3.0,0.37,69.0,-0.1,1.0,4.0,-62.0,0.0,3.0,b'male'
b'06',b'06',b'06',1.0,42.0,3.5,0.09,68.0,0.08,1.0,3.0,-61.0,0.0,4.0,b'male'
b'02',b'03',b'02',2.0,33.0,2.8,-0.91,69.0,-0.82,1.0,3.0,-62.0,0.0,2.0,b'male'
b'04',b'09',b'05',6.0,31.0,3.1,-0.19,68.0,1.07,1.0,4.0,-66.0,0.0,1.0,b'male'
b'07',b'04',b'07',1.0,34.0,3.6,0.45,64.0,-0.5,2.0,4.0,-57.0,1.0,4.0,b'male'
b'10',b'08',b'10',1.0,39.0,3.3,1.34,67.0,0.64,1.0,4.0,-60.0,0.0,4.0,b'male'
b'06',b'05',b'06',1.0,33.0,3.7,0.27,67.0,-0.14,1.0,3.0,-60.0,0.0,4.0,b'female'
b'07',b'04',b'07',1.0,42.0,3.7,0.4,66.0,-0.37,1.0,3.0,-59.0,0.0,4.0,b'male'
b'07',b'07',b'07',3.0,41.0,3.0,0.34,67.0,0.35,1.0,4.0,-60.0,0.0,3.0,b'male'
b'05',b'07',b'05',1.0,33.0,3.6,0.0,69.0,0.4,1.0,3.0,-62.0,0.0,4.0,b'male'
b'02',b'01',b'02',1.0,34.0,3.3,-0.92,56.0,-1.86,2.0,3.0,-49.0,1.0,4.0,b'female'
b'02',b'04',b'03',3.0,43.0,2.5,-0.81,56.0,-0.36,2.0,4.0,-49.0,1.0,3.0,b'male'
b'09',b'09',b'09',3.0,37.0,3.7,1.08,69.0,0.98,1.0,3.0,-62.0,0.0,3.0,b'male'
b'10',b'09',b'10',3.0,40.0,2.7,1.49,67.0,1.14,1.0,3.0,-60.0,0.0,3.0,b'male'
b'08',b'09',b'08',3.0,35.0,3.0,0.76,64.0,0.94,1.0,4.0,-57.0,0.0,3.0,b'female'
b'10',b'10',b'10',3.0,38.0,3.6,1.39,65.0,1.6,1.0,2.0,-58.0,0.0,3.0,b'female'
b'07',b'06',b'07',3.0,34.0,3.3,0.39,67.0,0.24,1.0,4.0,-60.0,0.0,3.0,b'female'
b'06',b'08',b'06',1.0,42.0,3.8,0.26,68.0,0.62,1.0,4.0,-61.0,0.0,4.0,b'male'
b'07',b'09',b'07',1.0,47.0,2.5,0.44,67.0,1.08,1.0,4.0,-60.0,0.0,4.0,b'female'
b'02',b'01',b'02',4.0,40.0,3.1,-1.03,66.0,-1.78,1.0,4.0,-64.0,0.0,5.0,b'female'
b'05',b'05',b'05',1.0,34.0,2.8,0.02,52.0,-0.07,1.0,4.0,-45.0,0.0,4.0,b'female'
b'04',b'03',b'05',3.0,34.0,3.5,-0.2,70.0,-0.57,1.0,4.0,-63.0,0.0,3.0,b'female'
b'08',b'09',b'08',3.0,38.0,3.0,0.7,67.0,0.89,1.0,4.0,-60.0,0.0,3.0,b'male'
b'03',b'03',b'03',3.0,33.0,3.1,-0.52,53.0,-0.76,2.0,3.0,-46.0,1.0,3.0,b'male'
b'07',b'08',b'07',3.0,37.0,2.9,0.39,66.0,0.73,1.0,4.0,-64.0,0.0,3.0,b'male'
b'06',b'07',b'06',3.0,37.0,3.6,0.19,66.0,0.3,1.0,4.0,-59.0,0.0,3.0,b'female'
b'03',b'04',b'04',2.0,34.0,3.2,-0.54,68.0,-0.44,1.0,3.0,-61.0,0.0,2.0,b'male'
b'06',b'06',b'06',4.0,39.0,3.5,0.23,69.0,0.11,1.0,4.0,-62.0,0.0,5.0,b'male'
b'08',b'08',b'08',1.0,40.0,3.7,0.8,69.0,0.64,1.0,4.0,-67.0,0.0,4.0,b'male'
b'10',b'10',b'10',4.0,42.0,3.9,2.18,70.0,2.0,1.0,4.0,-63.0,0.0,5.0,b'female'
b'03',b'03',b'03',2.0,26.0,3.1,-0.58,67.0,-0.69,1.0,4.0,-60.0,0.0,2.0,b'female'
b'01',b'02',b'01',1.0,40.0,3.0,-1.82,67.0,-1.27,1.0,4.0,-65.0,0.0,4.0,b'male'
b'05',b'03',b'05',4.0,33.0,3.5,-0.08,69.0,-0.6,1.0,4.0,-62.0,0.0,5.0,b'female'
b'01',b'01',b'01',2.0,34.0,3.0,-2.51,67.0,-1.5,1.0,4.0,-60.0,0.0,2.0,b'male'
b'03',b'05',b'04',2.0,37.0,2.4,-0.51,68.0,-0.27,2.0,4.0,-61.0,1.0,2.0,b'male'
b'01',b'03',b'01',3.0,42.0,3.3,-1.59,69.0,-0.82,1.0,4.0,-62.0,0.0,3.0,b'male'
b'02',b'02',b'03',5.0,48.0,3.2,-0.84,68.0,-1.09,1.0,3.0,-61.0,0.0,6.0,b'male'
b'03',b'03',b'04',6.0,25.5,2.5,-0.4,66.0,-0.75,1.0,4.0,-59.0,0.0,1.0,b'male'
b'05',b'04',b'05',1.0,40.0,3.9,-0.16,69.0,-0.37,1.0,3.0,-62.0,0.0,4.0,b'female'
b'08',b'10',b'08',1.0,40.0,4.0,0.66,62.0,1.57,1.0,4.0,-55.0,0.0,4.0,b'female'
b'08',b'07',b'09',3.0,35.5,3.4,0.85,65.0,0.37,1.0,4.0,-58.0,0.0,3.0,b'male'
b'10',b'09',b'10',3.0,33.0,3.8,1.58,67.0,1.24,1.0,2.0,-60.0,0.0,3.0,b'male'
b'06',b'05',b'07',1.0,34.0,3.7,0.33,69.0,-0.01,1.0,4.0,-62.0,0.0,4.0,b'female'
b'09',b'07',b'09',3.0,33.0,3.4,1.01,69.0,0.41,1.0,4.0,-62.0,0.0,3.0,b'female'
b'05',b'05',b'05',1.0,44.0,3.5,-0.15,61.0,-0.03,1.0,3.0,-54.0,0.0,4.0,b'female'
b'02',b'03',b'02',3.0,37.0,2.4,-1.1,66.0,-0.73,1.0,3.0,-59.0,0.0,3.0,b'female'
b'08',b'07',b'08',3.0,38.0,3.3,0.61,67.0,0.4,1.0,4.0,-65.0,0.0,3.0,b'female'
b'06',b'07',b'06',1.0,41.0,3.4,0.12,69.0,0.4,1.0,4.0,-62.0,0.0,4.0,b'female'
b'07',b'08',b'07',1.0,35.0,3.7,0.45,69.0,0.59,1.0,4.0,-62.0,0.0,4.0,b'male'
b'07',b'08',b'07',5.0,40.0,3.8,0.55,69.0,0.65,1.0,4.0,-62.0,0.0,6.0,b'female'
b'10',b'10',b'10',3.0,40.0,2.7,1.49,66.0,1.56,2.0,3.0,-64.0,1.0,3.0,b'male'
b'09',b'09',b'09',1.0,37.0,3.6,1.21,64.0,1.22,1.0,3.0,-57.0,0.0,4.0,b'male'
b'07',b'04',b'07',3.0,36.0,2.6,0.39,66.0,-0.39,1.0,4.0,-59.0,0.0,3.0,b'male'
b'10',b'10',b'10',1.0,44.0,3.3,1.57,65.0,1.72,1.0,5.0,-58.0,0.0,4.0,b'male'
b'08',b'10',b'08',4.0,37.0,3.3,0.82,65.0,1.52,1.0,3.0,-58.0,0.0,5.0,b'male'
b'09',b'10',b'09',3.0,37.0,3.4,1.02,55.0,2.04,2.0,4.0,-48.0,1.0,3.0,b'female'
b'02',b'01',b'03',3.0,32.3,2.5,-0.79,63.0,-1.75,1.0,4.0,-61.0,0.0,3.0,b'female'
b'01',b'01',b'01',1.0,29.0,3.3,-1.59,63.0,-1.42,1.0,2.0,-61.0,0.0,4.0,b'male'
b'05',b'06',b'05',1.0,40.0,2.7,-0.12,65.0,0.03,1.0,4.0,-58.0,0.0,4.0,b'female'
b'04',b'06',b'05',3.0,33.0,3.2,-0.21,68.0,0.01,1.0,4.0,-61.0,0.0,3.0,b'male'
b'07',b'07',b'07',3.0,40.0,3.8,0.4,67.0,0.51,1.0,3.0,-60.0,0.0,3.0,b'male'
b'04',b'06',b'05',3.0,33.0,2.7,-0.24,64.0,0.1,1.0,4.0,-57.0,0.0,3.0,b'female'
b'02',b'02',b'02',5.0,43.0,3.6,-1.07,67.0,-0.94,1.0,2.0,-60.0,0.0,6.0,b'male'
b'09',b'03',b'09',1.0,26.0,2.6,1.28,68.0,-0.85,2.0,4.0,-61.0,1.0,4.0,b'male'
b'04',b'05',b'04',3.0,32.0,3.3,-0.37,63.0,-0.15,1.0,4.0,-56.0,0.0,3.0,b'female'
b'06',b'07',b'06',4.0,35.5,3.7,0.15,69.0,0.32,1.0,4.0,-62.0,0.0,5.0,b'female'
b'10',b'03',b'10',3.0,32.0,3.4,1.34,54.0,-0.78,2.0,3.0,-52.0,1.0,3.0,b'female'
b'02',b'02',b'02',3.0,46.0,2.9,-0.86,65.0,-1.09,1.0,4.0,-58.0,0.0,3.0,b'male'
b'06',b'08',b'06',1.0,40.0,3.0,0.14,67.0,0.57,1.0,3.0,-60.0,0.0,4.0,b'male'
b'10',b'10',b'10',1.0,35.0,3.4,1.34,68.0,1.42,1.0,4.0,-61.0,0.0,4.0,b'female'
b'10',b'04',b'10',5.0,46.0,2.2,2.72,66.0,-0.36,1.0,4.0,-59.0,0.0,6.0,b'male'
b'09',b'07',b'09',1.0,38.0,3.0,0.96,66.0,0.3,1.0,3.0,-59.0,0.0,4.0,b'male'
b'04',b'07',b'04',4.0,36.0,3.9,-0.25,49.0,0.39,1.0,3.0,-42.0,0.0,5.0,b'male'
b'07',b'08',b'07',2.0,33.5,3.1,0.34,69.0,0.55,1.0,4.0,-62.0,0.0,2.0,b'female'
b'03',b'06',b'03',3.0,32.0,3.5,-0.56,69.0,-0.01,1.0,3.0,-62.0,0.0,3.0,b'female'
b'03',b'02',b'03',3.0,31.5,3.6,-0.67,68.0,-1.3,1.0,4.0,-61.0,0.0,3.0,b'male'
b'07',b'08',b'08',4.0,42.0,3.4,0.55,69.0,0.7,1.0,2.0,-62.0,0.0,5.0,b'male'
b'06',b'07',b'06',1.0,41.0,3.2,0.19,69.0,0.45,1.0,4.0,-62.0,0.0,4.0,b'female'
b'04',b'02',b'04',4.0,46.0,3.8,-0.25,69.0,-1.04,1.0,3.0,-62.0,0.0,5.0,b'female'
b'06',b'06',b'06',1.0,38.0,3.6,0.22,69.0,0.18,1.0,4.0,-62.0,0.0,4.0,b'female'
b'08',b'09',b'08',3.0,42.0,3.2,0.82,63.0,1.09,1.0,4.0,-56.0,0.0,3.0,b'female'
b'02',b'03',b'02',1.0,35.5,3.2,-1.06,67.0,-0.7,2.0,4.0,-60.0,1.0,4.0,b'male'
b'09',b'07',b'09',3.0,34.0,3.3,1.19,65.0,0.44,2.0,3.0,-58.0,1.0,3.0,b'male'
b'03',b'01',b'04',3.0,32.0,2.7,-0.5,67.0,-1.36,1.0,2.0,-60.0,0.0,3.0,b'female'
b'04',b'08',b'04',3.0,32.0,3.1,-0.37,69.0,0.67,1.0,4.0,-62.0,0.0,3.0,b'male'
b'01',b'03',b'02',3.0,42.0,3.3,-1.13,69.0,-0.58,1.0,4.0,-62.0,0.0,3.0,b'female'
b'08',b'08',b'08',5.0,41.0,4.0,0.63,67.0,0.76,1.0,2.0,-65.0,0.0,6.0,b'female'
b'05',b'03',b'05',3.0,36.0,2.9,-0.12,69.0,-0.63,1.0,4.0,-62.0,0.0,3.0,b'male'
b'09',b'10',b'09',3.0,33.0,3.1,1.19,68.0,1.7,1.0,3.0,-66.0,0.0,3.0,b'male'
b'09',b'07',b'09',6.0,23.0,2.8,1.0,67.0,0.48,1.0,3.0,-60.0,0.0,1.0,b'male'
b'03',b'03',b'04',3.0,23.0,3.1,-0.44,69.0,-0.77,1.0,5.0,-67.0,0.0,3.0,b'male'
b'10',b'10',b'10',3.0,40.0,3.3,2.15,69.0,1.84,1.0,3.0,-62.0,0.0,3.0,b'male'
b'02',b'01',b'02',3.0,36.0,3.0,-0.94,69.0,-1.32,1.0,3.0,-62.0,0.0,3.0,b'male'
b'09',b'09',b'09',3.0,37.0,3.3,1.04,68.0,0.97,1.0,3.0,-61.0,0.0,3.0,b'female'
b'02',b'01',b'02',5.0,30.0,2.9,-0.86,67.0,-1.43,1.0,4.0,-60.0,0.0,6.0,b'male'
b'01',b'01',b'02',1.0,27.0,2.6,-1.23,60.0,-1.72,2.0,1.0,-53.0,1.0,4.0,b'female'
