workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,race
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,0,0,52,United-States,White
Private,Some-college,10,Never-married,Sales,Own-child,0,0,44,United-States,Black
Private,Bachelors,13,Divorced,Exec-managerial,Own-child,0,1408,40,United-States,White
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,0,0,40,United-States,White
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,15,United-States,Black
Private,11th,7,Never-married,Machine-op-inspct,Unmarried,0,0,40,Puerto-Rico,White
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,0,0,25,United-States,White
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,0,0,43,United-States,White
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,50,United-States,White
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,35,United-States,White
Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Black
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,38,United-States,White
Private,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,White
State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,0,43,United-States,White
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,Other
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,1902,60,Honduras,White
Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,55,United-States,White
Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,60,United-States,White
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,40,United-States,White
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,White
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,0,0,40,Puerto-Rico,White
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,48,United-States,White
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,5013,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,2407,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,White
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,White
Private,Some-college,10,Divorced,Tech-support,Not-in-family,0,0,58,United-States,White
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,White
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,White
Private,Some-college,10,Never-married,Prof-specialty,Own-child,0,0,32,United-States,White
Private,Bachelors,13,Separated,Sales,Own-child,0,0,40,United-States,Black
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,70,United-States,White
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,0,0,20,United-States,White
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,Mexico,White
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,White
Private,11th,7,Never-married,Other-service,Own-child,0,0,22,United-States,White
Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Sales,Not-in-family,0,0,30,United-States,White
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,0,0,40,Cuba,White
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,48,United-States,White
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,14344,0,40,United-States,White
Private,HS-grad,9,Divorced,Sales,Own-child,0,0,35,United-States,White
Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,White
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,White
Private,9th,5,Never-married,Sales,Not-in-family,0,0,40,United-States,White
Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,White
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Private,Some-college,10,Divorced,Craft-repair,Unmarried,0,0,40,United-States,White
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,0,0,25,United-States,Black
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,White
Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,0,0,50,United-States,White
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,1902,60,United-States,White
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,48,United-States,White
Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,0,0,40,England,White
Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,Black
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,15024,0,60,United-States,White
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,White
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,White
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,7688,0,40,United-States,White
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,White
Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,White
Private,Bachelors,13,Never-married,Sales,Other-relative,0,0,40,United-States,White
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,1887,50,Canada,White
Private,Some-college,10,Married-civ-spouse,Sales,Wife,4064,0,25,United-States,White
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,White
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50,United-States,White
Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,50,United-States,White
Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Black
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,56,United-States,White
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,41,United-States,White
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,White
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,0,0,40,Germany,Black
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,White
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,35,United-States,Black
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,White
Private,Some-college,10,Never-married,Adm-clerical,Own-child,0,1719,28,United-States,White
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,White
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,White
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,60,United-States,White
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1762,40,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,4386,0,35,United-States,White
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,United-States,White
Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,0,0,36,United-States,Black
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40,Iran,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,60,United-States,White
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,0,0,35,United-States,White
Private,Some-college,10,Never-married,Sales,Own-child,0,0,20,United-States,White
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Asian-Pac-Islander
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Private,Some-college,10,Never-married,Sales,Own-child,0,0,40,United-States,White
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,30,Mexico,White
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,1564,40,United-States,White
Private,Some-college,10,Never-married,Tech-support,Other-relative,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,0,0,30,United-States,Black
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,24,United-States,White
Private,HS-grad,9,Widowed,Other-service,Unmarried,0,0,24,United-States,White
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,2179,40,United-States,White
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,38,Mexico,White
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,0,0,40,Philippines,Asian-Pac-Islander
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,35,United-States,White
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,46,United-States,White
Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,White
Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,0,1816,2,United-States,Black
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,White
Private,Bachelors,13,Separated,Other-service,Other-relative,0,0,50,United-States,Black
Private,HS-grad,9,Never-married,Other-service,Unmarried,0,0,40,United-States,White
Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,Asian-Pac-Islander
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,0,0,40,England,Asian-Pac-Islander
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,0,0,40,United-States,White
Private,Some-college,10,Divorced,Other-service,Unmarried,0,0,40,Mexico,White
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,0,0,42,United-States,White
State-gov,Masters,14,Widowed,Protective-serv,Unmarried,0,0,40,United-States,White
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,16,United-States,White
Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,0,0,20,United-States,White
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1980,40,United-States,White
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,1977,40,United-States,White
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,0,0,50,United-States,White
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,0,0,25,United-States,White
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,Black
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,Black
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,12,United-States,White
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,65,United-States,White
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,38,United-States,Black
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,Black
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,White
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,42,United-States,White
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Black
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,White
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,0,50,United-States,White
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,1,United-States,White
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,0,0,28,United-States,Black
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,White
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Black
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,45,United-States,White
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,24,United-States,White
Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,0,0,40,Mexico,White
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,White
Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,14084,0,55,United-States,White
Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,7298,0,40,United-States,White
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,0,0,40,United-States,White
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,0,1876,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,White
Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,0,1340,40,United-States,White
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,0,0,35,United-States,White
Private,11th,7,Never-married,Sales,Own-child,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,7298,0,36,United-States,Black
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,White
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,15024,0,35,United-States,White
Private,11th,7,Never-married,Sales,Own-child,0,0,12,United-States,White
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Black
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Private,Some-college,10,Never-married,Sales,Not-in-family,0,0,40,United-States,Amer-Indian-Eskimo
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Asian-Pac-Islander
Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,White
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,60,United-States,Black
Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,Poland,White
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,55,United-States,White
Private,10th,6,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,2206,40,United-States,Black
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,20,United-States,Black
Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,0,0,35,United-States,White
Private,HS-grad,9,Never-married,Sales,Own-child,0,0,40,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,1409,0,50,United-States,White
Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,0,0,20,Columbia,White
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,11th,7,Separated,Transport-moving,Not-in-family,3674,0,40,United-States,Black
Private,HS-grad,9,Divorced,Sales,Unmarried,0,0,38,United-States,Black
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,42,United-States,White
Private,Some-college,10,Divorced,Craft-repair,Other-relative,0,0,40,United-States,Other
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,0,0,55,United-States,White
State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,White
State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,38,United-States,White
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,Iran,White
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,70,United-States,White
Private,HS-grad,9,Never-married,Transport-moving,Own-child,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,20,United-States,White
State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,0,0,50,United-States,White
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,1741,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,45,United-States,White
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,0,34,United-States,White
Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,0,1977,60,United-States,White
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,White
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,Black
Local-gov,10th,6,Widowed,Other-service,Unmarried,0,0,30,United-States,Black
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,0,0,40,United-States,White
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,0,0,20,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,40,Cambodia,Asian-Pac-Islander
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Separated,Other-service,Not-in-family,0,0,30,United-States,White
Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,0,0,45,United-States,White
Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,White
Private,Bachelors,13,Divorced,Prof-specialty,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,60,United-States,White
Private,11th,7,Never-married,Other-service,Own-child,0,0,12,United-States,White
Private,Some-college,10,Married-civ-spouse,Sales,Husband,4064,0,40,United-States,White
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,White
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,75,Thailand,Asian-Pac-Islander
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,White
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,45,United-States,White
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,White
Private,9th,5,Never-married,Other-service,Own-child,1055,0,24,United-States,White
Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,2407,0,98,United-States,White
Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,0,0,35,United-States,White
Private,HS-grad,9,Divorced,Prof-specialty,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Black
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,7298,0,40,United-States,White
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,White
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,7298,0,48,United-States,White
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,15,Germany,White
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,5178,0,40,United-States,White
Private,Assoc-acdm,12,Divorced,Sales,Unmarried,0,0,45,United-States,Black
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,42,United-States,White
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,White
Federal-gov,Masters,14,Married-civ-spouse,Sales,Husband,15024,0,40,United-States,White
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,White
Private,Some-college,10,Divorced,Other-service,Not-in-family,0,0,45,United-States,White
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,White
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,0,0,40,Ecuador,White
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,White
Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,White
Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,0,0,56,United-States,White
Private,Some-college,10,Never-married,Sales,Own-child,0,0,45,United-States,White
Private,Bachelors,13,Never-married,Tech-support,Unmarried,0,0,40,United-States,Black
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,16,United-States,White
Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,0,0,60,United-States,White
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,White
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,80,United-States,White
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,7688,0,40,United-States,White
Private,Some-college,10,Never-married,Other-service,Not-in-family,0,0,25,United-States,Asian-Pac-Islander
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,45,United-States,White
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,4386,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,0,0,40,Laos,Asian-Pac-Islander
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,0,0,45,United-States,White
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,0,0,33,United-States,White
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,White
Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,0,0,54,United-States,White
Private,Bachelors,13,Never-married,Sales,Not-in-family,0,0,40,United-States,White
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,7298,0,35,Taiwan,Asian-Pac-Islander
Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,Black
Private,Some-college,10,Never-married,Sales,Own-child,0,0,15,United-States,White
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,White
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,White
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,0,0,40,Mexico,White
Private,Some-college,10,Never-married,Tech-support,Not-in-family,0,0,40,United-States,White
Private,HS-grad,9,Widowed,Other-service,Not-in-family,0,0,24,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,White
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,1485,50,United-States,White
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,0,0,45,United-States,White
Private,11th,7,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,White
Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,0,0,10,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,45,United-States,White
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,0,1887,50,United-States,White
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,White
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,2050,0,55,United-States,White
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,Black
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,White
Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,0,0,40,United-States,White
Local-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,White
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,White
Private,5th-6th,3,Never-married,Other-service,Other-relative,0,0,48,Mexico,White
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,0,0,40,United-States,White
