workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,sex
Private,Some-college,10,Divorced,Tech-support,Not-in-family,0,0,58,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,Female
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Private,Some-college,10,Never-married,Prof-specialty,Own-child,0,0,32,United-States,Male
Private,Bachelors,13,Separated,Sales,Own-child,0,0,40,United-States,Female
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,70,United-States,Male
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,0,0,20,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,Mexico,Male
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,11th,7,Never-married,Other-service,Own-child,0,0,22,United-States,Female
Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Sales,Not-in-family,0,0,30,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,0,0,40,Cuba,Male
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,48,United-States,Male
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,14344,0,40,United-States,Female
Private,HS-grad,9,Divorced,Sales,Own-child,0,0,35,United-States,Female
Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,Male
Private,9th,5,Never-married,Sales,Not-in-family,0,0,40,United-States,Male
Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,Female
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Craft-repair,Unmarried,0,0,40,United-States,Female
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,0,0,25,United-States,Female
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,Male
Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,0,0,50,United-States,Male
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,1902,60,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,48,United-States,Male
Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,0,0,40,England,Female
Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,15024,0,60,United-States,Male
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,Female
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,7688,0,40,United-States,Male
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,Male
Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Sales,Other-relative,0,0,40,United-States,Male
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,1887,50,Canada,Male
Private,Some-college,10,Married-civ-spouse,Sales,Wife,4064,0,25,United-States,Female
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,Female
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50,United-States,Male
Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,50,United-States,Male
Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,56,United-States,Male
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,41,United-States,Male
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,0,0,40,Germany,Male
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,Male
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,35,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Adm-clerical,Own-child,0,1719,28,United-States,Female
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,60,United-States,Female
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1762,40,United-States,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,4386,0,35,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,United-States,Male
Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,0,0,36,United-States,Female
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40,Iran,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,60,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,0,0,35,United-States,Female
Private,Some-college,10,Never-married,Sales,Own-child,0,0,20,United-States,Male
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Some-college,10,Never-married,Sales,Own-child,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,30,Mexico,Male
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,1564,40,United-States,Female
Private,Some-college,10,Never-married,Tech-support,Other-relative,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,0,0,30,United-States,Female
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,24,United-States,Male
Private,HS-grad,9,Widowed,Other-service,Unmarried,0,0,24,United-States,Female
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,2179,40,United-States,Male
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,38,Mexico,Female
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,0,0,40,Philippines,Female
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,35,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,46,United-States,Male
Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,Male
Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,0,1816,2,United-States,Male
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,Male
Private,Bachelors,13,Separated,Other-service,Other-relative,0,0,50,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Unmarried,0,0,40,United-States,Female
Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,0,0,40,England,Female
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Other-service,Unmarried,0,0,40,Mexico,Female
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,0,0,42,United-States,Male
State-gov,Masters,14,Widowed,Protective-serv,Unmarried,0,0,40,United-States,Male
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,16,United-States,Male
Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,0,0,20,United-States,Female
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1980,40,United-States,Male
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,1977,40,United-States,Male
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,0,0,50,United-States,Male
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,0,0,25,United-States,Female
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,12,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,65,United-States,Male
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,38,United-States,Male
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,Male
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,42,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,0,50,United-States,Female
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,1,United-States,Male
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,0,0,28,United-States,Female
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,45,United-States,Male
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,24,United-States,Male
Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,0,0,40,Mexico,Male
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,Male
Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,14084,0,55,United-States,Female
Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,7298,0,40,United-States,Male
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,0,0,40,United-States,Male
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,0,1876,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,0,1340,40,United-States,Female
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,0,0,35,United-States,Female
Private,11th,7,Never-married,Sales,Own-child,0,0,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,7298,0,36,United-States,Male
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,15024,0,35,United-States,Female
Private,11th,7,Never-married,Sales,Own-child,0,0,12,United-States,Female
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Some-college,10,Never-married,Sales,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,60,United-States,Male
Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,0,0,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,Poland,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,55,United-States,Male
Private,10th,6,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,2206,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,20,United-States,Male
Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,0,0,35,United-States,Female
Private,HS-grad,9,Never-married,Sales,Own-child,0,0,40,United-States,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,1409,0,50,United-States,Male
Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,0,0,20,Columbia,Female
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,11th,7,Separated,Transport-moving,Not-in-family,3674,0,40,United-States,Male
Private,HS-grad,9,Divorced,Sales,Unmarried,0,0,38,United-States,Female
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,42,United-States,Male
Private,Some-college,10,Divorced,Craft-repair,Other-relative,0,0,40,United-States,Female
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,0,0,55,United-States,Male
State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,Male
State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,38,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,Iran,Male
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,70,United-States,Male
Private,HS-grad,9,Never-married,Transport-moving,Own-child,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,20,United-States,Female
State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,0,0,50,United-States,Male
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,1741,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,45,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,0,34,United-States,Female
Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,0,1977,60,United-States,Male
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,Female
Local-gov,10th,6,Widowed,Other-service,Unmarried,0,0,30,United-States,Female
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,0,0,40,United-States,Male
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,0,0,20,United-States,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,40,Cambodia,Male
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Separated,Other-service,Not-in-family,0,0,30,United-States,Female
Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,0,0,45,United-States,Female
Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,Bachelors,13,Divorced,Prof-specialty,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,60,United-States,Male
Private,11th,7,Never-married,Other-service,Own-child,0,0,12,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,4064,0,40,United-States,Male
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,75,Thailand,Male
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,45,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,9th,5,Never-married,Other-service,Own-child,1055,0,24,United-States,Male
Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,2407,0,98,United-States,Male
Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,0,0,35,United-States,Male
Private,HS-grad,9,Divorced,Prof-specialty,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,7298,0,40,United-States,Male
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,Female
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,7298,0,48,United-States,Female
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,15,Germany,Female
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,5178,0,40,United-States,Male
Private,Assoc-acdm,12,Divorced,Sales,Unmarried,0,0,45,United-States,Female
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,42,United-States,Female
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,Male
Federal-gov,Masters,14,Married-civ-spouse,Sales,Husband,15024,0,40,United-States,Male
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,Male
Private,Some-college,10,Divorced,Other-service,Not-in-family,0,0,45,United-States,Male
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,0,0,40,Ecuador,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,Male
Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,Female
Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,0,0,56,United-States,Male
Private,Some-college,10,Never-married,Sales,Own-child,0,0,45,United-States,Male
Private,Bachelors,13,Never-married,Tech-support,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,16,United-States,Male
Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,0,0,60,United-States,Female
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,80,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,7688,0,40,United-States,Male
Private,Some-college,10,Never-married,Other-service,Not-in-family,0,0,25,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,45,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,4386,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,0,0,40,Laos,Female
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,0,0,45,United-States,Male
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,0,0,33,United-States,Female
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,0,0,54,United-States,Male
Private,Bachelors,13,Never-married,Sales,Not-in-family,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,7298,0,35,Taiwan,Male
Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Sales,Own-child,0,0,15,United-States,Male
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,Male
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,0,0,40,Mexico,Female
Private,Some-college,10,Never-married,Tech-support,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Widowed,Other-service,Not-in-family,0,0,24,United-States,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,1485,50,United-States,Male
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,0,0,45,United-States,Male
Private,11th,7,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,0,0,10,United-States,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,45,United-States,Male
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,0,1887,50,United-States,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,2050,0,55,United-States,Male
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,Male
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,Male
Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,0,0,40,United-States,Male
