workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,age
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,0,0,20,United-States,79
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,Mexico,27
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,40
Private,11th,7,Never-married,Other-service,Own-child,0,0,22,United-States,18
Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,31
Private,HS-grad,9,Never-married,Sales,Not-in-family,0,0,30,United-States,18
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,0,0,40,Cuba,52
Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,40,United-States,46
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,48,United-States,59
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,14344,0,40,United-States,44
Private,HS-grad,9,Divorced,Sales,Own-child,0,0,35,United-States,53
Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,49
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,33
Private,9th,5,Never-married,Sales,Not-in-family,0,0,40,United-States,30
Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,43
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,57
Private,Some-college,10,Divorced,Craft-repair,Unmarried,0,0,40,United-States,37
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,0,0,25,United-States,28
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,34
Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,0,0,50,United-States,29
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,1902,60,United-States,48
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,48,United-States,37
Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,0,0,40,England,48
Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,32
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,76
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,15024,0,60,United-States,44
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,47
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,20
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,29
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,7688,0,40,United-States,32
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,30
Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,31
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,42
Private,Bachelors,13,Never-married,Sales,Other-relative,0,0,40,United-States,24
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,38
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,1887,50,Canada,56
Private,Some-college,10,Married-civ-spouse,Sales,Wife,4064,0,25,United-States,28
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,36
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50,United-States,53
Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,50,United-States,56
Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,49
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,56,United-States,55
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,41,United-States,22
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,40,United-States,21
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,40
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,0,0,40,Germany,30
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,29
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,35,United-States,19
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,47
Private,Some-college,10,Never-married,Adm-clerical,Own-child,0,1719,28,United-States,20
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,31
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,39
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,60,United-States,28
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1762,40,United-States,24
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,4386,0,35,United-States,38
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,United-States,37
Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,0,0,36,United-States,46
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40,Iran,38
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,60,United-States,43
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,0,0,35,United-States,27
Private,Some-college,10,Never-married,Sales,Own-child,0,0,20,United-States,20
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,49
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,61
Private,Some-college,10,Never-married,Sales,Own-child,0,0,40,United-States,27
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,30,Mexico,19
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,0,1564,40,United-States,45
Private,Some-college,10,Never-married,Tech-support,Other-relative,0,0,40,United-States,70
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,0,0,30,United-States,31
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,24,United-States,22
Private,HS-grad,9,Widowed,Other-service,Unmarried,0,0,24,United-States,36
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,2179,40,United-States,64
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,38,Mexico,47
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,34
Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,0,0,40,Philippines,33
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,35,United-States,21
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,46,United-States,48
Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,23
Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,0,1816,2,United-States,71
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,29
Private,Bachelors,13,Separated,Other-service,Other-relative,0,0,50,United-States,42
Private,HS-grad,9,Never-married,Other-service,Unmarried,0,0,40,United-States,25
Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,44
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,0,0,40,England,28
Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,0,0,40,United-States,45
Private,Some-college,10,Divorced,Other-service,Unmarried,0,0,40,Mexico,36
Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,0,0,42,United-States,39
State-gov,Masters,14,Widowed,Protective-serv,Unmarried,0,0,40,United-States,46
Private,11th,7,Never-married,Handlers-cleaners,Own-child,0,0,16,United-States,18
Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,0,0,20,United-States,66
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,1980,40,United-States,27
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,28
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,1977,40,United-States,51
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,0,0,50,United-States,27
State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,28
Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,0,0,25,United-States,27
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,21
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,0,0,40,United-States,34
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,12,United-States,18
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,65,United-States,33
Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,38,United-States,44
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,43
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,30
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,40
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,42,United-States,37
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,34
Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,41
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,0,50,United-States,31
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,1,United-States,58
Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,0,0,28,United-States,38
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,24
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,41
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,0,0,45,United-States,47
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,0,0,24,United-States,41
Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,0,0,40,Mexico,23
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,36
Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,14084,0,55,United-States,40
Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,7298,0,40,United-States,35
Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,0,0,40,United-States,24
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,0,1876,40,United-States,26
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,51
Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,0,1340,40,United-States,42
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,0,0,35,United-States,37
Private,11th,7,Never-married,Sales,Own-child,0,0,40,United-States,18
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,7298,0,36,United-States,36
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,60,United-States,35
Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,15024,0,35,United-States,58
Private,11th,7,Never-married,Sales,Own-child,0,0,12,United-States,17
Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,44
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,37
Private,Some-college,10,Never-married,Sales,Not-in-family,0,0,40,United-States,35
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,60
Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,54
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,60,United-States,37
Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,0,0,40,United-States,50
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,Poland,38
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,55,United-States,45
Private,10th,6,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,25
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,31
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,2206,40,United-States,90
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,20,United-States,54
Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,0,0,35,United-States,53
Private,HS-grad,9,Never-married,Sales,Own-child,0,0,40,United-States,18
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,1409,0,50,United-States,66
Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,0,0,20,Columbia,75
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,65
Private,11th,7,Separated,Transport-moving,Not-in-family,3674,0,40,United-States,35
Private,HS-grad,9,Divorced,Sales,Unmarried,0,0,38,United-States,41
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,42,United-States,25
Private,Some-college,10,Divorced,Craft-repair,Other-relative,0,0,40,United-States,33
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,0,0,55,United-States,28
State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,59
State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,38,United-States,40
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,Iran,41
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,70,United-States,38
Private,HS-grad,9,Never-married,Transport-moving,Own-child,0,0,40,United-States,23
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,40
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,20,United-States,41
State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,0,0,50,United-States,24
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,0,1741,40,United-States,38
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,45,United-States,58
Private,HS-grad,9,Never-married,Other-service,Not-in-family,0,0,34,United-States,32
Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,0,1977,60,United-States,40
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,41
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,42
Local-gov,10th,6,Widowed,Other-service,Unmarried,0,0,30,United-States,59
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,0,0,40,United-States,19
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,0,0,20,United-States,58
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,40,Cambodia,42
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,40,United-States,20
Private,HS-grad,9,Separated,Other-service,Not-in-family,0,0,30,United-States,32
Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,0,0,45,United-States,45
Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,50
Private,Bachelors,13,Divorced,Prof-specialty,Own-child,0,0,40,United-States,36
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,60,United-States,45
Private,11th,7,Never-married,Other-service,Own-child,0,0,12,United-States,17
Private,Some-college,10,Married-civ-spouse,Sales,Husband,4064,0,40,United-States,59
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,26
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,75,Thailand,37
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,64
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,45,United-States,33
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,0,0,40,United-States,33
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,61
Private,9th,5,Never-married,Other-service,Own-child,1055,0,24,United-States,17
Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,2407,0,98,United-States,50
Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,0,0,35,United-States,27
Private,HS-grad,9,Divorced,Prof-specialty,Own-child,0,0,40,United-States,30
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,43
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,7298,0,40,United-States,44
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,35
Private,Some-college,10,Never-married,Tech-support,Own-child,0,0,40,United-States,25
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,7298,0,48,United-States,24
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,15,Germany,22
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,5178,0,40,United-States,42
Private,Assoc-acdm,12,Divorced,Sales,Unmarried,0,0,45,United-States,34
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,42,United-States,60
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,21
Federal-gov,Masters,14,Married-civ-spouse,Sales,Husband,15024,0,40,United-States,57
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,41
Private,Some-college,10,Divorced,Other-service,Not-in-family,0,0,45,United-States,50
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,25
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,0,0,40,Ecuador,50
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,36
Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,31
Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,0,0,56,United-States,29
Private,Some-college,10,Never-married,Sales,Own-child,0,0,45,United-States,21
Private,Bachelors,13,Never-married,Tech-support,Unmarried,0,0,40,United-States,27
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,16,United-States,65
Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,0,0,60,United-States,37
Private,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,24
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,80,United-States,38
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,7688,0,40,United-States,48
Private,Some-college,10,Never-married,Other-service,Not-in-family,0,0,25,United-States,21
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,45,United-States,31
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,4386,0,40,United-States,55
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,0,0,40,Laos,24
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,43
Private,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,0,0,45,United-States,26
Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,0,0,33,United-States,46
Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,35
Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,0,0,54,United-States,41
Private,Bachelors,13,Never-married,Sales,Not-in-family,0,0,40,United-States,26
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,7298,0,35,Taiwan,34
Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,36
Private,Some-college,10,Never-married,Sales,Own-child,0,0,15,United-States,22
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,40,United-States,24
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,77
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,0,0,40,Mexico,22
Private,Some-college,10,Never-married,Tech-support,Not-in-family,0,0,40,United-States,29
Private,HS-grad,9,Widowed,Other-service,Not-in-family,0,0,24,United-States,62
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,39
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,1485,50,United-States,43
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,0,0,45,United-States,35
Private,11th,7,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,29
Self-emp-not-inc,Masters,14,Married-civ-spouse,Craft-repair,Husband,0,0,10,United-States,76
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,45,United-States,63
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,0,1887,50,United-States,43
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,58
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,2050,0,55,United-States,66
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,45,United-States,41
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,26
Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,0,0,40,United-States,47
Local-gov,10th,6,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,55
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,53
Private,5th-6th,3,Never-married,Other-service,Other-relative,0,0,48,Mexico,17
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,0,0,40,United-States,30
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,60,United-States,49
Private,HS-grad,9,Never-married,Sales,Unmarried,0,0,30,Haiti,19
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,45
Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,40,United-States,26
