code_module,code_presentation,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,gender
AAA,2013J,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,F
AAA,2013J,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,F
AAA,2013J,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,M
AAA,2013J,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,F
AAA,2013J,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,M
AAA,2013J,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,F
AAA,2013J,South Region,HE Qualification,80-90%,35-55,0,60,N,F
AAA,2013J,South West Region,HE Qualification,60-70%,0-35,0,120,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,F
AAA,2013J,North Region,Lower Than A Level,60-70%,0-35,0,120,N,M
AAA,2013J,North Region,Lower Than A Level,80-90%,0-35,0,90,N,F
AAA,2013J,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,F
AAA,2013J,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,F
AAA,2013J,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,M
AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,F
AAA,2013J,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,M
AAA,2013J,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,F
AAA,2013J,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,F
AAA,2013J,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,North Western Region,HE Qualification,70-80%,35-55,0,60,N,M
AAA,2013J,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,F
AAA,2013J,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,M
AAA,2013J,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,F
AAA,2013J,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,10-20,0-35,0,180,N,M
AAA,2013J,South West Region,HE Qualification,80-90%,35-55,0,170,N,M
AAA,2013J,London Region,HE Qualification,10-20,0-35,0,120,N,M
AAA,2013J,Scotland,HE Qualification,30-40%,35-55,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,M
AAA,2013J,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,M
AAA,2013J,London Region,Lower Than A Level,50-60%,35-55,0,60,N,M
AAA,2013J,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,F
AAA,2013J,South West Region,HE Qualification,80-90%,35-55,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,M
AAA,2013J,London Region,A Level or Equivalent,10-20,35-55,0,60,N,F
AAA,2013J,London Region,HE Qualification,60-70%,0-35,0,60,N,M
AAA,2013J,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,M
AAA,2013J,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,M
AAA,2013J,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,M
AAA,2013J,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,M
AAA,2013J,South Region,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,London Region,HE Qualification,80-90%,0-35,0,80,N,M
AAA,2013J,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,F
AAA,2013J,London Region,HE Qualification,20-30%,35-55,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,M
AAA,2013J,Wales,Lower Than A Level,20-30%,35-55,0,60,N,M
AAA,2013J,North Western Region,HE Qualification,10-20,0-35,0,120,N,M
AAA,2013J,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,F
AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,M
AAA,2013J,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,M
AAA,2013J,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,F
AAA,2013J,London Region,Lower Than A Level,40-50%,0-35,0,60,N,M
AAA,2013J,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,F
AAA,2013J,Wales,Lower Than A Level,70-80%,35-55,0,60,N,M
AAA,2013J,North Western Region,HE Qualification,30-40%,0-35,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,M
AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,M
AAA,2013J,South East Region,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,M
AAA,2013J,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,M
AAA,2013J,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,South East Region,HE Qualification,80-90%,0-35,0,60,N,F
AAA,2013J,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,F
AAA,2013J,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,M
AAA,2013J,Wales,Lower Than A Level,80-90%,0-35,0,120,N,F
AAA,2013J,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,London Region,A Level or Equivalent,10-20,0-35,0,60,N,F
AAA,2013J,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,F
AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,M
AAA,2013J,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,M
AAA,2013J,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,F
AAA,2013J,South Region,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,F
AAA,2013J,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,South Region,HE Qualification,90-100%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,F
AAA,2013J,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,M
AAA,2013J,Scotland,HE Qualification,80-90%,0-35,0,60,N,M
AAA,2013J,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,F
AAA,2013J,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,F
AAA,2013J,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,M
AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,M
AAA,2013J,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,F
AAA,2013J,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,M
AAA,2013J,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,M
AAA,2013J,Ireland,HE Qualification,70-80%,35-55,0,120,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,M
AAA,2013J,Scotland,HE Qualification,50-60%,35-55,0,120,N,F
AAA,2013J,North Western Region,HE Qualification,80-90%,35-55,0,60,N,M
AAA,2013J,South Region,HE Qualification,90-100%,35-55,0,120,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,M
AAA,2013J,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,M
AAA,2013J,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,F
AAA,2013J,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,M
AAA,2013J,South West Region,HE Qualification,40-50%,0-35,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,F
AAA,2013J,Wales,HE Qualification,50-60%,35-55,0,120,N,M
AAA,2013J,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,M
AAA,2013J,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,M
AAA,2013J,London Region,Lower Than A Level,80-90%,35-55,0,60,N,F
AAA,2013J,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,M
AAA,2013J,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,F
AAA,2013J,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,M
AAA,2013J,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,M
AAA,2013J,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,M
AAA,2013J,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,F
AAA,2013J,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,M
AAA,2013J,Wales,Lower Than A Level,20-30%,35-55,0,120,N,M
AAA,2013J,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,M
AAA,2013J,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,M
AAA,2013J,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,M
AAA,2013J,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,M
AAA,2013J,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,F
AAA,2013J,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,F
AAA,2013J,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,M
AAA,2013J,South West Region,HE Qualification,80-90%,0-35,0,120,N,M
AAA,2013J,London Region,HE Qualification,30-40%,0-35,0,60,N,M
AAA,2013J,South East Region,HE Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,F
AAA,2013J,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,F
AAA,2013J,South East Region,HE Qualification,80-90%,0-35,0,120,N,M
AAA,2013J,North Western Region,HE Qualification,80-90%,35-55,0,60,N,M
AAA,2013J,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,M
AAA,2013J,South East Region,HE Qualification,90-100%,0-35,0,120,N,M
AAA,2013J,North Western Region,HE Qualification,40-50%,0-35,0,120,N,M
AAA,2013J,South East Region,HE Qualification,60-70%,0-35,0,60,N,M
AAA,2013J,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,M
AAA,2013J,Scotland,HE Qualification,30-40%,0-35,0,60,N,F
AAA,2013J,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,M
AAA,2013J,Ireland,HE Qualification,90-100%,0-35,0,120,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,M
AAA,2013J,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,South Region,HE Qualification,90-100%,55<=,0,120,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,M
AAA,2013J,South Region,Lower Than A Level,50-60%,55<=,0,120,N,F
AAA,2013J,South Region,Lower Than A Level,70-80%,55<=,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,F
AAA,2013J,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,F
AAA,2013J,North Western Region,HE Qualification,40-50%,35-55,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,F
AAA,2013J,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,M
AAA,2013J,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,F
AAA,2013J,South Region,HE Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,London Region,Lower Than A Level,30-40%,35-55,0,60,N,F
AAA,2013J,Scotland,HE Qualification,80-90%,55<=,0,60,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,M
AAA,2013J,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,F
AAA,2013J,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,F
AAA,2013J,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,M
AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,F
AAA,2013J,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,M
AAA,2013J,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,F
AAA,2013J,London Region,Lower Than A Level,90-100%,35-55,0,60,N,M
AAA,2013J,South Region,HE Qualification,90-100%,35-55,0,60,N,M
AAA,2013J,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,M
AAA,2013J,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,F
AAA,2013J,Scotland,HE Qualification,40-50%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,M
AAA,2013J,South Region,Lower Than A Level,30-40%,35-55,0,75,N,M
AAA,2013J,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,F
AAA,2013J,South East Region,HE Qualification,70-80%,55<=,0,60,N,M
AAA,2013J,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,M
AAA,2013J,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,M
AAA,2013J,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,M
AAA,2013J,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,F
AAA,2013J,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,F
AAA,2013J,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,F
AAA,2013J,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,M
AAA,2013J,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,F
AAA,2013J,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,M
AAA,2013J,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,M
AAA,2013J,London Region,Lower Than A Level,30-40%,35-55,0,60,N,F
AAA,2013J,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,F
AAA,2013J,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,F
AAA,2013J,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,F
AAA,2013J,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,M
AAA,2013J,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,M
AAA,2013J,South Region,Lower Than A Level,70-80%,35-55,0,60,N,F
AAA,2013J,North Western Region,HE Qualification,20-30%,55<=,0,60,N,M
AAA,2013J,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,F
AAA,2013J,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,F
AAA,2013J,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,F
AAA,2013J,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,F
AAA,2013J,North Western Region,HE Qualification,30-40%,35-55,0,60,N,F
AAA,2013J,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,10-20,35-55,0,60,N,F
AAA,2013J,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,F
AAA,2013J,South Region,Lower Than A Level,30-40%,35-55,0,60,N,M
AAA,2013J,South Region,A Level or Equivalent,90-100%,0-35,0,150,N,M
AAA,2013J,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,F
AAA,2013J,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,M
AAA,2013J,Scotland,HE Qualification,90-100%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,F
AAA,2013J,London Region,Lower Than A Level,40-50%,0-35,0,60,N,F
AAA,2013J,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,M
AAA,2013J,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,F
AAA,2013J,Scotland,HE Qualification,90-100%,0-35,0,60,Y,F
AAA,2013J,South East Region,HE Qualification,20-30%,0-35,0,300,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,F
AAA,2013J,London Region,Lower Than A Level,70-80%,35-55,0,60,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,F
AAA,2013J,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,M
AAA,2013J,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,F
AAA,2013J,Scotland,HE Qualification,20-30%,0-35,0,120,N,M
AAA,2013J,South West Region,Lower Than A Level,50-60%,35-55,0,90,N,M
AAA,2013J,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,F
AAA,2013J,London Region,A Level or Equivalent,10-20,35-55,0,120,Y,M
AAA,2013J,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,F
AAA,2013J,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,F
AAA,2013J,Scotland,Lower Than A Level,80-90%,35-55,0,120,N,M
AAA,2013J,South Region,Lower Than A Level,80-90%,35-55,0,180,N,M
AAA,2013J,London Region,Lower Than A Level,80-90%,35-55,0,60,N,M
AAA,2013J,Scotland,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,South Region,HE Qualification,70-80%,55<=,0,60,N,M
AAA,2013J,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,F
AAA,2013J,Scotland,HE Qualification,50-60%,55<=,0,60,N,F
AAA,2013J,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,M
AAA,2013J,Wales,Lower Than A Level,80-90%,35-55,0,60,N,M
AAA,2013J,South Region,Lower Than A Level,90-100%,0-35,0,120,N,M
AAA,2013J,East Anglian Region,HE Qualification,90-100%,0-35,0,120,N,F
AAA,2013J,North Western Region,Lower Than A Level,40-50%,0-35,0,240,N,F
AAA,2013J,South East Region,HE Qualification,40-50%,35-55,0,60,N,M
AAA,2013J,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,M
AAA,2013J,London Region,Lower Than A Level,10-20,0-35,0,60,N,F
AAA,2013J,North Western Region,A Level or Equivalent,20-30%,55<=,0,120,N,M
AAA,2013J,North Western Region,HE Qualification,60-70%,35-55,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,F
AAA,2013J,South Region,HE Qualification,90-100%,55<=,0,60,N,M
AAA,2013J,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,F
AAA,2013J,South Region,Lower Than A Level,90-100%,0-35,0,60,N,F
AAA,2013J,South Region,HE Qualification,80-90%,35-55,0,120,N,F
AAA,2013J,South Region,HE Qualification,90-100%,35-55,0,60,N,F
AAA,2013J,Yorkshire Region,HE Qualification,80-90%,55<=,0,60,N,M
AAA,2013J,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,M
AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,M
AAA,2013J,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,F
AAA,2013J,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,F
AAA,2013J,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,M
AAA,2013J,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,M
AAA,2013J,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,M
AAA,2013J,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,Y,F
AAA,2013J,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,F
AAA,2013J,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,F
AAA,2013J,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,F
AAA,2013J,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,F
AAA,2013J,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,M
AAA,2013J,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,F
AAA,2013J,London Region,Lower Than A Level,10-20,35-55,0,60,N,F
AAA,2013J,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,60,N,F
